episode,reward,drop_rate,avg_lat,avg_eng,loss
197,-57.8802,0.0,0.2673,1.9332,9.602192
198,-63.2664,0.005,0.2841,1.9607,11.560325
199,-60.7186,0.0,0.2931,1.9492,9.798295
200,-58.4077,0.0,0.2725,1.8587,10.086828
201,-56.2196,0.0,0.2807,1.8646,9.833559
202,-62.9858,0.0,0.2723,1.8975,10.162351
203,-64.0713,0.0,0.2826,1.9136,9.978294
204,-69.3997,0.005,0.3027,1.9804,11.100731
205,-69.0548,0.005,0.3173,1.8838,10.53089
206,-62.2361,0.0,0.2924,1.9387,9.844305
207,-61.0295,0.0,0.2867,1.8758,9.962933
208,-59.0645,0.0,0.2811,1.9362,8.774158
209,-69.4043,0.005,0.2863,1.9113,11.906503
210,-60.5917,0.0,0.2709,1.903,10.179556
211,-61.7083,0.005,0.2682,1.9045,9.94799
212,-54.8067,0.0,0.2731,1.8878,9.108409
213,-60.2395,0.0,0.2703,1.9857,10.149011
214,-59.9082,0.0,0.2816,1.9175,9.685174
215,-64.9743,0.0,0.2579,1.8439,9.29758
216,-60.7673,0.0,0.265,1.8824,9.030272
217,-64.0672,0.0,0.2526,1.9086,8.795573
218,-60.1935,0.0,0.2575,1.9264,8.882918
219,-65.4272,0.0,0.2489,1.9771,9.879526
220,-62.8249,0.0,0.2487,1.8773,8.798696
221,-63.5801,0.0,0.2543,1.9162,9.084412
222,-61.9916,0.0,0.2511,1.9315,9.11529
223,-65.5501,0.005,0.2367,1.8883,10.308044
224,-75.4444,0.005,0.2443,1.9162,11.879094
225,-56.9748,0.0,0.255,1.8929,9.381335
226,-63.9884,0.005,0.2537,1.9211,9.660452
227,-68.8,0.005,0.2581,1.8983,10.0367
228,-58.4445,0.0,0.268,1.9872,8.205808
229,-61.6516,0.0,0.2721,1.9435,8.74339
230,-66.5991,0.0,0.2879,1.947,9.939105
231,-77.335,0.005,0.2857,1.8588,12.93675
232,-62.0824,0.0,0.2784,1.9068,10.927521
233,-79.7242,0.01,0.2781,1.8783,15.455326
234,-63.1712,0.0,0.2597,1.897,9.779628
235,-70.2463,0.005,0.2823,1.8695,11.339745
236,-62.9918,0.0,0.26,1.9208,11.0432
