episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
142,-95.6603,0.02,0.3249,1.9628,0.700007,0.01,28400,0.53,0.285,0.185,0.0
143,-77.4182,0.005,0.3237,1.9306,0.699517,0.01,28600,0.52,0.26,0.22,0.0
144,-75.2412,0.005,0.3069,1.9622,0.698708,0.01,28800,0.605,0.23,0.165,0.0
145,-93.8139,0.02,0.3327,1.8945,0.698045,0.01,29000,0.465,0.27,0.26,0.005
146,-82.7151,0.01,0.3024,1.9357,0.697873,0.01,29200,0.595,0.19,0.21,0.005
147,-83.2885,0.015,0.3033,1.9235,0.697422,0.01,29400,0.575,0.225,0.195,0.005
148,-96.8404,0.02,0.3092,1.9869,0.697042,0.01,29600,0.55,0.19,0.25,0.01
149,-73.6361,0.005,0.3111,1.9477,0.696259,0.01,29800,0.57,0.225,0.205,0.0
150,-83.9512,0.01,0.3156,2.0097,0.695756,0.01,30000,0.575,0.215,0.205,0.005
151,-90.3557,0.02,0.3052,1.9481,0.695264,0.01,30200,0.59,0.215,0.19,0.005
152,-80.669,0.01,0.2958,1.89,0.694039,0.01,30400,0.625,0.23,0.14,0.005
153,-76.4245,0.005,0.2975,1.9703,0.693019,0.01,30600,0.625,0.18,0.195,0.0
154,-86.5764,0.01,0.3259,2.0088,0.692265,0.01,30800,0.545,0.275,0.175,0.005
155,-73.0039,0.005,0.3099,1.9418,0.691715,0.01,31000,0.575,0.235,0.19,0.0
156,-76.2201,0.005,0.2988,1.9412,0.691902,0.01,31200,0.6,0.18,0.22,0.0
157,-77.1841,0.005,0.3138,1.9602,0.691142,0.01,31400,0.565,0.235,0.2,0.0
158,-80.3698,0.01,0.3191,1.9269,0.690712,0.01,31600,0.525,0.235,0.235,0.005
159,-80.9222,0.01,0.3232,1.9147,0.690214,0.01,31800,0.51,0.27,0.215,0.005
160,-78.9591,0.01,0.3183,1.9677,0.689678,0.01,32000,0.545,0.24,0.21,0.005
161,-69.6661,0.005,0.317,1.9017,0.689224,0.01,32200,0.545,0.275,0.18,0.0
162,-76.0041,0.005,0.3058,1.9247,0.688664,0.01,32400,0.59,0.23,0.18,0.0
163,-85.2173,0.01,0.3108,1.9524,0.688356,0.01,32600,0.55,0.225,0.225,0.0
164,-72.2154,0.005,0.3118,1.9144,0.687642,0.01,32800,0.56,0.24,0.2,0.0
165,-82.1749,0.01,0.3145,1.901,0.68689,0.01,33000,0.56,0.27,0.165,0.005
166,-78.8483,0.01,0.3048,1.89,0.686125,0.01,33200,0.575,0.215,0.205,0.005
167,-82.2117,0.015,0.3288,1.937,0.685732,0.01,33400,0.495,0.3,0.205,0.0
168,-97.9795,0.025,0.3061,1.8608,0.685238,0.01,33600,0.55,0.22,0.23,0.0
169,-80.7086,0.01,0.3108,1.9233,0.684328,0.01,33800,0.565,0.24,0.195,0.0
170,-72.9361,0.005,0.2988,1.9029,0.683773,0.01,34000,0.61,0.205,0.185,0.0
171,-80.6005,0.01,0.3089,1.9347,0.683479,0.01,34200,0.575,0.235,0.185,0.005
172,-77.6084,0.01,0.3073,1.876,0.683112,0.01,34400,0.57,0.24,0.19,0.0
173,-82.4861,0.01,0.3076,1.9149,0.682474,0.01,34600,0.57,0.21,0.215,0.005
174,-89.6698,0.015,0.3167,1.9784,0.681994,0.01,34800,0.545,0.255,0.2,0.0
175,-76.3428,0.005,0.3148,1.9667,0.681423,0.01,35000,0.59,0.21,0.195,0.005
176,-75.6203,0.005,0.3352,1.8783,0.680888,0.01,35200,0.45,0.29,0.26,0.0
177,-82.9547,0.01,0.3135,1.8948,0.680913,0.01,35400,0.575,0.295,0.13,0.0
178,-68.7422,0.005,0.3037,1.9265,0.680377,0.01,35600,0.605,0.235,0.16,0.0
179,-84.0909,0.01,0.3249,1.9282,0.679617,0.01,35800,0.535,0.31,0.155,0.0
180,-81.9772,0.01,0.3171,1.9358,0.678973,0.01,36000,0.545,0.24,0.21,0.005
181,-80.0554,0.01,0.3124,1.9501,0.678654,0.01,36200,0.57,0.235,0.19,0.005
182,-91.8476,0.02,0.3048,1.9085,0.677893,0.01,36400,0.565,0.235,0.195,0.005
183,-78.9676,0.005,0.2996,1.9431,0.677908,0.01,36600,0.61,0.185,0.205,0.0
184,-79.0105,0.005,0.3153,1.885,0.677948,0.01,36800,0.57,0.25,0.175,0.005
185,-76.2013,0.01,0.3036,1.939,0.677446,0.01,37000,0.595,0.205,0.195,0.005
186,-82.9396,0.015,0.3123,1.9478,0.677437,0.01,37200,0.565,0.225,0.205,0.005
187,-72.1368,0.005,0.3165,1.9293,0.677196,0.01,37400,0.55,0.26,0.19,0.0
188,-98.4539,0.02,0.33,1.9501,0.676785,0.01,37600,0.49,0.28,0.22,0.01
189,-82.7095,0.01,0.3246,1.9975,0.676456,0.01,37800,0.535,0.255,0.205,0.005
190,-74.6116,0.005,0.3145,1.8981,0.676118,0.01,38000,0.555,0.275,0.17,0.0
191,-78.8529,0.01,0.3112,1.8925,0.675575,0.01,38200,0.57,0.265,0.165,0.0
192,-74.6034,0.005,0.3101,1.9052,0.674875,0.01,38400,0.58,0.275,0.145,0.0
193,-76.0721,0.005,0.3167,1.9349,0.674303,0.01,38600,0.545,0.25,0.205,0.0
194,-74.2346,0.005,0.306,1.9278,0.673701,0.01,38800,0.59,0.235,0.175,0.0
195,-86.0645,0.015,0.3179,1.9456,0.673287,0.01,39000,0.55,0.25,0.2,0.0
196,-75.9741,0.005,0.3153,1.8962,0.672726,0.01,39200,0.53,0.235,0.235,0.0
197,-71.8498,0.005,0.3265,1.9429,0.672122,0.01,39400,0.53,0.295,0.175,0.0
198,-72.7299,0.005,0.3344,1.9693,0.671468,0.01,39600,0.485,0.27,0.245,0.0
199,-73.1833,0.005,0.3162,1.9792,0.670911,0.01,39800,0.57,0.255,0.175,0.0
200,-75.6543,0.005,0.3113,1.8752,0.670574,0.01,40000,0.55,0.255,0.195,0.0
201,-67.7861,0.005,0.3102,1.87,0.670139,0.01,40200,0.56,0.265,0.175,0.0
202,-72.1228,0.005,0.331,1.9097,0.669995,0.01,40400,0.49,0.285,0.225,0.0
203,-76.2977,0.005,0.3274,1.9151,0.670412,0.01,40600,0.5,0.27,0.23,0.0
204,-76.8034,0.01,0.304,1.9955,0.670291,0.01,40800,0.62,0.225,0.155,0.0
205,-80.9773,0.015,0.3017,1.9287,0.670365,0.01,41000,0.59,0.23,0.175,0.005
206,-82.8503,0.01,0.334,1.929,0.670025,0.01,41200,0.485,0.3,0.21,0.005
207,-90.0095,0.015,0.3059,1.9028,0.669604,0.01,41400,0.565,0.2,0.225,0.01
208,-78.1983,0.01,0.3118,1.9473,0.669009,0.01,41600,0.57,0.23,0.195,0.005
209,-77.1828,0.01,0.3208,1.9394,0.668796,0.01,41800,0.535,0.265,0.2,0.0
210,-69.6475,0.005,0.3077,1.9291,0.668263,0.01,42000,0.58,0.23,0.19,0.0
211,-73.6296,0.005,0.3174,1.9309,0.667595,0.01,42200,0.535,0.225,0.24,0.0
212,-70.9081,0.005,0.319,1.8936,0.667108,0.01,42400,0.535,0.28,0.185,0.0
213,-73.3943,0.005,0.3165,2.0019,0.666916,0.01,42600,0.575,0.255,0.17,0.0
214,-72.8658,0.005,0.3153,1.9668,0.666477,0.01,42800,0.575,0.25,0.175,0.0
215,-88.2336,0.015,0.2999,1.8974,0.665961,0.01,43000,0.585,0.235,0.18,0.0
216,-71.8411,0.005,0.3013,1.9011,0.665467,0.01,43200,0.6,0.23,0.17,0.0
217,-78.0151,0.01,0.3023,1.9111,0.664889,0.01,43400,0.585,0.195,0.215,0.005
218,-79.7119,0.01,0.3024,1.9281,0.664325,0.01,43600,0.595,0.215,0.185,0.005
219,-82.5167,0.01,0.3356,2.0084,0.6641,0.01,43800,0.535,0.3,0.16,0.005
220,-73.0858,0.005,0.3215,1.9288,0.663661,0.01,44000,0.55,0.29,0.16,0.0
221,-85.5775,0.015,0.2946,1.9187,0.663288,0.01,44200,0.61,0.21,0.175,0.005
222,-75.9859,0.005,0.3227,1.9813,0.662964,0.01,44400,0.55,0.285,0.165,0.0
223,-82.7853,0.01,0.3316,1.8985,0.662427,0.01,44600,0.47,0.28,0.245,0.005
224,-85.0679,0.01,0.3045,1.9615,0.661674,0.01,44800,0.575,0.195,0.23,0.0
225,-73.2793,0.005,0.3226,1.9007,0.661209,0.01,45000,0.51,0.265,0.225,0.0
226,-102.7404,0.02,0.3385,1.9673,0.660971,0.01,45200,0.455,0.275,0.26,0.01
227,-82.3703,0.01,0.3111,1.92,0.660836,0.01,45400,0.59,0.27,0.135,0.005
228,-74.9353,0.005,0.3438,2.0044,0.660677,0.01,45600,0.48,0.335,0.185,0.0
229,-74.8422,0.005,0.3303,1.968,0.660391,0.01,45800,0.53,0.28,0.185,0.005
230,-80.3732,0.01,0.3099,1.9704,0.660362,0.01,46000,0.58,0.245,0.175,0.0
231,-71.5976,0.005,0.3153,1.9086,0.66058,0.01,46200,0.565,0.28,0.155,0.0
232,-75.0138,0.005,0.3115,1.9053,0.660398,0.01,46400,0.56,0.245,0.195,0.0
233,-82.9569,0.005,0.3261,1.9322,0.659582,0.01,46600,0.505,0.255,0.24,0.0
234,-75.4822,0.005,0.3216,1.9163,0.659333,0.01,46800,0.535,0.29,0.175,0.0
235,-77.5304,0.01,0.32,1.9146,0.658745,0.01,47000,0.525,0.255,0.22,0.0
236,-88.7715,0.01,0.3301,1.942,0.658143,0.01,47200,0.48,0.25,0.265,0.005
237,-88.2786,0.02,0.3123,1.8456,0.657681,0.01,47400,0.52,0.235,0.24,0.005
238,-81.6577,0.01,0.2964,1.9184,0.657381,0.01,47600,0.625,0.235,0.135,0.005
239,-77.6586,0.005,0.3145,1.8551,0.657479,0.01,47800,0.55,0.295,0.155,0.0
240,-74.7778,0.005,0.3317,1.9655,0.657135,0.01,48000,0.495,0.28,0.225,0.0
241,-73.8177,0.005,0.298,1.9641,0.657132,0.01,48200,0.63,0.205,0.165,0.0
242,-81.7884,0.01,0.3113,1.9787,0.656742,0.01,48400,0.59,0.24,0.17,0.0
243,-70.357,0.005,0.3172,1.8789,0.656625,0.01,48600,0.555,0.255,0.185,0.005
244,-76.9862,0.005,0.3235,1.9349,0.656294,0.01,48800,0.51,0.245,0.245,0.0
245,-76.476,0.005,0.317,1.9361,0.655956,0.01,49000,0.555,0.26,0.185,0.0
246,-87.4568,0.015,0.3119,1.908,0.655397,0.01,49200,0.565,0.265,0.165,0.005
247,-72.7944,0.005,0.3186,1.945,0.655231,0.01,49400,0.545,0.245,0.21,0.0
248,-70.7041,0.005,0.3126,1.9224,0.654929,0.01,49600,0.555,0.24,0.205,0.0
249,-79.5008,0.01,0.3272,1.9582,0.654751,0.01,49800,0.52,0.27,0.205,0.005
250,-73.6059,0.005,0.3195,1.9575,0.654461,0.01,50000,0.555,0.275,0.17,0.0
251,-90.3103,0.025,0.2992,1.9141,0.654314,0.01,50000,0.605,0.24,0.155,0.0
252,-73.2937,0.005,0.3143,1.881,0.654144,0.01,50000,0.53,0.245,0.225,0.0
253,-70.3215,0.005,0.3112,1.919,0.653946,0.01,50000,0.55,0.215,0.235,0.0
254,-91.1945,0.02,0.3273,1.9648,0.653903,0.01,50000,0.49,0.26,0.25,0.0
255,-78.6708,0.01,0.3028,1.9696,0.653727,0.01,50000,0.605,0.205,0.185,0.005
256,-82.8001,0.01,0.2941,1.9217,0.653468,0.01,50000,0.62,0.22,0.16,0.0
257,-69.4997,0.005,0.3154,1.926,0.653456,0.01,50000,0.555,0.255,0.19,0.0
258,-80.6839,0.01,0.3085,1.9481,0.653142,0.01,50000,0.585,0.245,0.165,0.005
259,-87.0072,0.015,0.3192,1.9563,0.652821,0.01,50000,0.535,0.245,0.215,0.005
