episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
87,-95.2758,0.015,0.329,1.8285,0.371718,0.0376,17400,0.315,0.12,0.195,0.155
88,-76.8648,0.01,0.287,1.8585,0.370548,0.0361,17600,0.27,0.335,0.14,0.15
89,-97.8449,0.025,0.2951,1.8339,0.369652,0.0347,17800,0.275,0.295,0.145,0.17
90,-76.0361,0.01,0.28,1.8588,0.368451,0.0334,18000,0.31,0.355,0.11,0.12
91,-104.8767,0.02,0.3323,1.872,0.367448,0.0321,18200,0.37,0.035,0.2,0.12
92,-84.795,0.01,0.3145,1.8002,0.366977,0.0308,18400,0.215,0.31,0.17,0.185
93,-73.2934,0.005,0.2899,1.8704,0.366128,0.0296,18600,0.245,0.355,0.15,0.125
94,-86.5627,0.015,0.2846,1.829,0.365222,0.0284,18800,0.29,0.355,0.105,0.135
95,-83.1822,0.015,0.2972,1.9064,0.364082,0.0273,19000,0.25,0.335,0.15,0.135
96,-88.0671,0.015,0.3252,1.7253,0.363393,0.0262,19200,0.26,0.215,0.175,0.175
97,-83.4819,0.015,0.2879,1.9009,0.362978,0.0252,19400,0.29,0.335,0.115,0.16
98,-95.3226,0.015,0.3095,1.8759,0.36243,0.0242,19600,0.34,0.175,0.145,0.11
99,-72.7222,0.005,0.2874,1.8853,0.361704,0.0233,19800,0.31,0.31,0.135,0.155
100,-79.2453,0.01,0.265,1.8954,0.360698,0.0224,20000,0.335,0.375,0.09,0.15
101,-96.035,0.025,0.2954,1.9327,0.359921,0.0215,20200,0.28,0.325,0.11,0.185
102,-76.8941,0.01,0.2861,1.8734,0.359295,0.0206,20400,0.35,0.28,0.12,0.145
103,-74.3439,0.005,0.2749,1.8917,0.358804,0.0198,20600,0.315,0.355,0.125,0.12
104,-71.0359,0.005,0.2573,1.7852,0.358307,0.0191,20800,0.365,0.335,0.12,0.105
105,-72.7508,0.005,0.2712,1.856,0.357559,0.0183,21000,0.325,0.34,0.095,0.135
106,-86.9184,0.015,0.2862,1.8469,0.356744,0.0176,21200,0.345,0.275,0.115,0.16
107,-84.0631,0.015,0.2955,1.8345,0.356086,0.0169,21400,0.34,0.25,0.13,0.15
108,-84.8602,0.01,0.2963,1.7054,0.355245,0.0162,21600,0.3,0.245,0.175,0.125
109,-72.2984,0.005,0.2846,1.8413,0.354409,0.0156,21800,0.3,0.32,0.13,0.165
110,-89.1391,0.015,0.3036,1.8484,0.353534,0.015,22000,0.265,0.305,0.14,0.165
111,-89.1955,0.01,0.2979,1.8164,0.352908,0.0144,22200,0.33,0.255,0.105,0.195
112,-84.4645,0.01,0.3034,1.886,0.352338,0.0138,22400,0.32,0.26,0.13,0.185
113,-83.1766,0.01,0.3017,1.8412,0.351938,0.0133,22600,0.3,0.26,0.16,0.14
114,-85.2985,0.015,0.2687,1.8085,0.351459,0.0128,22800,0.365,0.295,0.12,0.11
115,-80.3561,0.01,0.277,1.7297,0.350857,0.0123,23000,0.355,0.285,0.13,0.115
116,-88.8819,0.015,0.273,1.8489,0.35033,0.0118,23200,0.38,0.29,0.105,0.125
117,-73.7634,0.005,0.2625,1.8923,0.34999,0.0113,23400,0.425,0.27,0.075,0.09
118,-81.5096,0.01,0.3002,1.81,0.349487,0.0109,23600,0.31,0.25,0.13,0.17
119,-92.1021,0.015,0.2693,1.8375,0.349266,0.0105,23800,0.37,0.3,0.08,0.115
120,-100.374,0.025,0.2854,1.8518,0.348882,0.01,24000,0.32,0.295,0.105,0.145
121,-75.4174,0.005,0.2827,1.8867,0.348627,0.01,24200,0.32,0.315,0.095,0.16
122,-77.9527,0.01,0.294,1.7994,0.348219,0.01,24400,0.345,0.26,0.13,0.145
123,-73.5222,0.005,0.2699,1.7781,0.347724,0.01,24600,0.345,0.305,0.09,0.13
124,-73.6024,0.005,0.2709,1.8585,0.347239,0.01,24800,0.34,0.335,0.11,0.13
125,-99.094,0.025,0.28,1.8632,0.34672,0.01,25000,0.295,0.325,0.1,0.19
126,-72.7334,0.005,0.2771,1.8604,0.346364,0.01,25200,0.335,0.32,0.105,0.145
127,-77.8452,0.01,0.2858,1.7711,0.345868,0.01,25400,0.34,0.275,0.115,0.17
128,-82.942,0.01,0.2986,1.8001,0.345537,0.01,25600,0.3,0.275,0.115,0.21
129,-75.2425,0.005,0.2615,1.8666,0.344995,0.01,25800,0.38,0.335,0.07,0.155
130,-74.9269,0.005,0.2462,1.8021,0.344451,0.01,26000,0.385,0.355,0.1,0.135
131,-90.3104,0.01,0.2764,1.8408,0.343778,0.01,26200,0.365,0.3,0.125,0.14
132,-93.5926,0.015,0.2926,1.8668,0.34329,0.01,26400,0.315,0.3,0.17,0.13
133,-81.4742,0.01,0.3075,1.828,0.342545,0.01,26600,0.24,0.29,0.155,0.155
134,-79.9759,0.005,0.3026,1.8649,0.341702,0.01,26800,0.27,0.315,0.17,0.185
135,-82.6241,0.01,0.2732,1.8469,0.341009,0.01,27000,0.33,0.35,0.115,0.105
136,-70.1736,0.0,0.2663,1.8809,0.340535,0.01,27200,0.33,0.375,0.105,0.175
137,-79.291,0.005,0.2989,1.8419,0.340031,0.01,27400,0.29,0.3,0.175,0.18
138,-82.9504,0.01,0.297,1.9049,0.339617,0.01,27600,0.345,0.265,0.175,0.13
139,-77.459,0.005,0.279,1.8433,0.339299,0.01,27800,0.315,0.33,0.145,0.115
140,-82.1276,0.01,0.2937,1.8755,0.338942,0.01,28000,0.28,0.305,0.18,0.145
141,-86.7056,0.015,0.2921,1.7638,0.338147,0.01,28200,0.27,0.305,0.155,0.14
142,-75.8854,0.005,0.274,1.879,0.337598,0.01,28400,0.33,0.35,0.155,0.115
143,-75.095,0.005,0.2732,1.8173,0.336902,0.01,28600,0.33,0.34,0.125,0.135
144,-76.1056,0.005,0.2809,1.9136,0.336288,0.01,28800,0.32,0.365,0.13,0.12
145,-81.1034,0.005,0.2848,1.8938,0.33573,0.01,29000,0.31,0.345,0.145,0.14
146,-83.0433,0.01,0.308,1.7893,0.335261,0.01,29200,0.235,0.3,0.105,0.19
